Date,Day_of_Week,Month,Weekend,Promotion,Holiday,Temperature,Visitors,Average_Order_Value,Sales
2023-04-29,5,4,1,0,0,35.24,390,21.38,9419.95
2023-04-30,6,4,1,0,0,34.38,428,21.76,11262.72
2023-05-01,0,5,0,0,1,34.38,450,22.3,11581.92
2023-05-02,1,5,0,0,0,30.9,380,24.24,11034.38
2023-05-03,2,5,0,0,0,35.44,354,21.49,8684.63
2023-05-04,3,5,0,0,0,29.74,360,23.56,9623.81
2023-05-05,4,5,0,0,0,33.63,341,24.5,8806.03
2023-05-06,5,5,1,0,0,36.74,390,26.7,11180.6
2023-05-07,6,5,1,0,0,30.28,418,26.14,11804.04
2023-05-08,0,5,0,0,0,31.03,396,23.94,9124.59
2023-05-09,1,5,0,0,0,32.26,378,23.24,8381.62
2023-05-10,2,5,0,0,0,30.95,383,24.51,8674.04
2023-05-11,3,5,0,0,0,28.76,333,22.56,7436.61
2023-05-12,4,5,0,0,0,31.89,265,19.48,5197.38
2023-05-13,5,5,1,0,0,29.51,440,25.62,11637.57
2023-05-14,6,5,1,0,0,32.47,481,25.87,13346.99
2023-05-15,0,5,0,0,0,29.57,366,18.98,6602.94
2023-05-16,1,5,0,0,0,34.4,380,20.49,7771.79
2023-05-17,2,5,0,0,0,29.61,372,22.41,7571.61
2023-05-18,3,5,0,0,0,30.41,334,24.07,7646.96
2023-05-19,4,5,0,0,0,32.56,317,20.56,6678.65
2023-05-20,5,5,1,0,0,28.35,449,20.55,10031.16
2023-05-21,6,5,1,0,0,31.14,429,21.06,9402.45
2023-05-22,0,5,0,0,0,33.17,358,21.68,7807.1
2023-05-23,1,5,0,0,0,27.21,352,18.54,5994.9
2023-05-24,2,5,0,0,0,30.66,343,18.31,6337.89
2023-05-25,3,5,0,0,0,30.67,321,18.9,6741.21
2023-05-26,4,5,0,0,0,31.58,342,18.4,6866.98
2023-05-27,5,5,1,0,0,27.4,382,21.83,9405.58
2023-05-28,6,5,1,0,0,27.1,436,24.47,11541.32
2023-05-29,0,5,0,0,0,30.64,374,21.47,8374.18
2023-05-30,1,5,0,0,0,30.05,413,21.1,8732.49
2023-05-31,2,5,0,1,0,29.81,551,25.06,16146.17
2023-06-01,3,6,0,1,0,29.85,435,23.67,11554.11
2023-06-02,4,6,0,1,0,27.65,411,27.84,12665.51
2023-06-03,5,6,1,1,0,29.33,548,28.35,16726.97
2023-06-04,6,6,1,1,0,29.3,574,28.59,16791.66
2023-06-05,0,6,0,0,0,27.13,417,28.95,12487.99
2023-06-06,1,6,0,0,0,32.14,394,24.83,9415.68
2023-06-07,2,6,0,0,0,29.2,345,23.36,7452.73
2023-06-08,3,6,0,0,0,25.71,330,23.85,7908.92
2023-06-09,4,6,0,0,0,29.25,318,26.1,7808.06
2023-06-10,5,6,1,0,0,25.83,409,25.83,11200.22
2023-06-11,6,6,1,0,0,29.19,435,23.2,10519.65
2023-06-12,0,6,0,0,0,29.77,394,24.85,9757.28
2023-06-13,1,6,0,0,0,25.65,405,22.01,7984.03
2023-06-14,2,6,0,0,0,29.06,385,25.33,10723.78
2023-06-15,3,6,0,0,0,27.79,327,23.62,8323.08
2023-06-16,4,6,0,0,0,28.45,282,20.81,6250.39
2023-06-17,5,6,1,0,0,30.43,388,24.4,10653.84
2023-06-18,6,6,1,0,0,25.98,449,22.13,10337.06
2023-06-19,0,6,0,0,0,24.8,343,21.42,7608.84
2023-06-20,1,6,0,0,0,24.36,381,20.56,7522.0
2023-06-21,2,6,0,0,0,24.34,337,18.35,5793.47
2023-06-22,3,6,0,0,0,25.64,307,18.55,5283.43
2023-06-23,4,6,0,0,0,26.31,314,21.06,7428.89
2023-06-24,5,6,1,0,0,26.01,385,20.62,8496.76
2023-06-25,6,6,1,0,0,26.94,416,20.73,10163.86
2023-06-26,0,6,0,0,0,25.14,325,18.71,6180.86
2023-06-27,1,6,0,0,0,27.85,386,21.17,7718.65
2023-06-28,2,6,0,0,0,24.24,358,24.08,8391.85
2023-06-29,3,6,0,0,0,30.04,357,19.88,7871.5
2023-06-30,4,6,0,0,1,25.68,350,22.04,8445.71
2023-07-01,5,7,1,0,0,22.54,381,26.14,10290.49
2023-07-02,6,7,1,0,0,21.94,417,24.4,10746.81
2023-07-03,0,7,0,0,0,24.88,394,24.15,9663.02
2023-07-04,1,7,0,0,0,23.29,361,22.26,8386.83
2023-07-05,2,7,0,0,0,25.0,345,24.81,8993.05
2023-07-06,3,7,0,0,0,24.34,314,24.1,7131.86
2023-07-07,4,7,0,0,0,23.08,278,25.96,6304.82
2023-07-08,5,7,1,0,0,21.36,360,27.77,9969.92
2023-07-09,6,7,1,0,0,19.85,411,29.76,12498.49
2023-07-10,0,7,0,0,0,21.82,378,25.03,8686.42
2023-07-11,1,7,0,0,0,24.25,333,24.35,7362.49
2023-07-12,2,7,0,0,0,22.8,337,23.76,7888.18
2023-07-13,3,7,0,0,0,19.71,277,22.49,5989.62
2023-07-14,4,7,0,0,0,22.38,299,23.03,6748.87
2023-07-15,5,7,1,1,0,22.64,459,26.56,13121.83
2023-07-16,6,7,1,1,0,19.93,518,26.73,15092.46
2023-07-17,0,7,0,1,0,21.84,486,26.46,13371.54
2023-07-18,1,7,0,1,0,21.48,524,22.52,13202.93
2023-07-19,2,7,0,1,0,18.91,458,25.35,13144.38
2023-07-20,3,7,0,0,0,21.75,276,21.81,5462.42
2023-07-21,4,7,0,0,0,21.99,312,19.45,5965.46
2023-07-22,5,7,1,0,0,22.87,327,17.83,5998.2
2023-07-23,6,7,1,0,0,22.65,343,20.1,7451.79
2023-07-24,0,7,0,0,0,17.63,354,21.57,7939.46
2023-07-25,1,7,0,0,0,18.35,338,19.8,6355.4
2023-07-26,2,7,0,0,0,21.09,300,18.64,5450.8
2023-07-27,3,7,0,0,0,20.93,304,19.77,5776.52
2023-07-28,4,7,0,0,0,20.78,267,22.24,6183.21
2023-07-29,5,7,1,0,0,27.3,345,23.8,9520.09
2023-07-30,6,7,1,0,0,20.58,362,23.14,10151.9
2023-07-31,0,7,0,0,0,21.56,361,21.97,8632.86
2023-08-01,1,8,0,0,0,21.05,363,22.43,8444.22
2023-08-02,2,8,0,0,0,20.29,320,22.09,7428.33
2023-08-03,3,8,0,0,0,18.21,329,26.28,9125.53
2023-08-04,4,8,0,0,0,20.21,231,23.68,5757.95
2023-08-05,5,8,1,0,0,17.0,318,27.7,8382.56
2023-08-06,6,8,1,0,0,17.93,373,28.27,11068.09
2023-08-07,0,8,0,0,0,17.29,334,25.98,8701.22
2023-08-08,1,8,0,0,0,18.29,349,23.73,7449.71
2023-08-09,2,8,0,0,0,22.61,312,24.77,7823.05
2023-08-10,3,8,0,0,0,14.11,288,23.82,7334.01
2023-08-11,4,8,0,0,0,19.08,223,22.11,4273.53
2023-08-12,5,8,1,0,0,14.35,388,25.0,9709.24
2023-08-13,6,8,1,0,0,16.5,385,22.25,9524.2
2023-08-14,0,8,0,0,0,19.5,360,23.78,8760.86
2023-08-15,1,8,0,0,0,17.32,349,20.78,7652.24
2023-08-16,2,8,0,0,0,14.91,327,21.28,7330.05
2023-08-17,3,8,0,0,0,15.51,290,20.96,6527.85
2023-08-18,4,8,0,0,0,18.18,262,19.75,4892.93
2023-08-19,5,8,1,0,1,15.24,445,22.21,11845.97
2023-08-20,6,8,1,0,0,17.02,417,20.41,9887.29
2023-08-21,0,8,0,0,0,16.56,334,20.82,7191.88
2023-08-22,1,8,0,0,0,15.06,355,17.49,6504.72
2023-08-23,2,8,0,0,0,20.54,310,19.81,5725.74
2023-08-24,3,8,0,0,0,17.41,309,22.74,7476.3
2023-08-25,4,8,0,0,0,11.99,231,18.64,4715.13
2023-08-26,5,8,1,0,0,16.31,392,21.01,8785.82
2023-08-27,6,8,1,0,0,14.51,380,23.25,9840.96
2023-08-28,0,8,0,0,0,17.44,290,21.75,6079.28
2023-08-29,1,8,0,1,0,14.06,468,26.03,13134.25
2023-08-30,2,8,0,1,0,15.32,423,26.75,11488.18
2023-08-31,3,8,0,1,0,16.47,422,27.47,12158.1
2023-09-01,4,9,0,1,0,17.1,360,28.63,10763.0
2023-09-02,5,9,1,1,0,12.88,463,29.47,14754.77
2023-09-03,6,9,1,0,0,14.53,332,25.3,8383.31
2023-09-04,0,9,0,0,0,14.17,313,25.39,7546.68
2023-09-05,1,9,0,0,0,13.73,272,27.34,7492.86
2023-09-06,2,9,0,0,0,18.5,268,24.29,6039.54
2023-09-07,3,9,0,0,0,15.7,288,22.92,5659.78
2023-09-08,4,9,0,0,0,12.3,264,25.83,7454.57
2023-09-09,5,9,1,0,0,16.59,353,25.18,9932.31
2023-09-10,6,9,1,0,0,18.94,353,21.71,7582.11
2023-09-11,0,9,0,0,0,16.7,321,24.29,8185.34
2023-09-12,1,9,0,0,0,11.53,331,21.72,7814.84
2023-09-13,2,9,0,0,0,13.55,277,21.86,7092.01
2023-09-14,3,9,0,0,0,17.0,305,21.98,7809.94
2023-09-15,4,9,0,0,0,13.0,265,21.27,6546.41
2023-09-16,5,9,1,0,0,15.25,336,23.09,8946.77
2023-09-17,6,9,1,0,0,15.87,377,20.99,8452.49
2023-09-18,0,9,0,0,0,12.42,326,20.6,7544.54
2023-09-19,1,9,0,0,0,14.12,279,19.23,5306.19
2023-09-20,2,9,0,0,0,7.72,299,20.62,6408.79
2023-09-21,3,9,0,0,0,12.12,249,20.44,4985.69
2023-09-22,4,9,0,0,0,13.64,217,18.22,4412.52
2023-09-23,5,9,1,0,0,11.62,333,22.96,8892.82
2023-09-24,6,9,1,0,0,17.35,420,20.84,8991.78
2023-09-25,0,9,0,0,0,11.21,336,21.74,7334.49
2023-09-26,1,9,0,0,0,13.17,315,21.53,6854.95
2023-09-27,2,9,0,0,0,14.29,319,24.24,7726.74
2023-09-28,3,9,0,0,0,16.9,301,21.66,6280.2
2023-09-29,4,9,0,0,0,11.14,264,22.0,5826.87
2023-09-30,5,9,1,0,0,16.33,341,24.49,8726.88
2023-10-01,6,10,1,0,0,14.02,359,24.51,8392.14
2023-10-02,0,10,0,0,0,12.04,338,25.06,8520.18
2023-10-03,1,10,0,0,0,14.93,339,21.74,7453.8
2023-10-04,2,10,0,0,0,14.41,327,22.8,6838.48
2023-10-05,3,10,0,0,0,12.82,281,22.88,6228.13
2023-10-06,4,10,0,0,0,14.17,267,25.91,7073.61
2023-10-07,5,10,1,0,0,13.27,327,28.44,9627.81
2023-10-08,6,10,1,0,0,14.28,408,25.51,11390.92
2023-10-09,0,10,0,0,0,15.4,325,23.6,8811.62
2023-10-10,1,10,0,0,0,17.27,381,23.57,8778.34
2023-10-11,2,10,0,0,0,11.65,288,24.76,6727.63
2023-10-12,3,10,0,0,0,18.42,309,21.13,6939.53
2023-10-13,4,10,0,1,0,10.28,377,25.86,11239.26
2023-10-14,5,10,1,1,0,13.92,454,27.94,14272.09
2023-10-15,6,10,1,1,0,15.44,494,26.73,15558.59
2023-10-16,0,10,0,1,0,14.86,443,24.31,11358.18
2023-10-17,1,10,0,1,0,13.1,471,25.14,13318.09
2023-10-18,2,10,0,0,0,13.97,319,15.78,5034.82
2023-10-19,3,10,0,0,0,13.45,253,20.64,6213.86
2023-10-20,4,10,0,0,0,13.31,242,18.53,5532.75
2023-10-21,5,10,1,0,0,16.24,395,18.27,7449.54
2023-10-22,6,10,1,0,0,15.32,420,21.89,9446.5
2023-10-23,0,10,0,0,0,13.28,333,21.9,7601.63
2023-10-24,1,10,0,0,0,16.52,332,19.94,6294.01
2023-10-25,2,10,0,0,0,15.4,310,21.96,6568.94
2023-10-26,3,10,0,0,0,16.48,284,23.4,6383.38
2023-10-27,4,10,0,0,0,16.19,219,23.45,4656.36
2023-10-28,5,10,1,0,1,13.35,417,25.96,12327.87
2023-10-29,6,10,1,0,0,13.96,337,25.13,9008.43
2023-10-30,0,10,0,0,0,16.65,334,23.13,7862.29
2023-10-31,1,10,0,0,0,16.46,349,21.07,8387.73
2023-11-01,2,11,0,0,0,15.28,297,23.49,6137.46
2023-11-02,3,11,0,0,0,15.65,310,22.9,7246.72
2023-11-03,4,11,0,0,0,18.06,216,27.63,5690.69
2023-11-04,5,11,1,0,0,14.41,309,25.72,8243.71
2023-11-05,6,11,1,0,0,16.78,387,26.17,10983.46
2023-11-06,0,11,0,0,0,15.38,353,25.2,9126.51
2023-11-07,1,11,0,0,0,15.45,378,24.23,9567.58
2023-11-08,2,11,0,0,0,18.18,300,26.4,8573.9
2023-11-09,3,11,0,0,0,17.74,300,22.54,6886.55
2023-11-10,4,11,0,0,0,17.82,248,23.31,5820.71
2023-11-11,5,11,1,0,0,18.92,344,22.91,8233.95
2023-11-12,6,11,1,0,0,16.46,406,21.52,9215.69
2023-11-13,0,11,0,0,0,17.89,345,20.56,8761.52
2023-11-14,1,11,0,0,0,16.03,299,20.93,7133.51
2023-11-15,2,11,0,0,0,17.41,351,19.89,6647.05
2023-11-16,3,11,0,0,0,16.62,310,19.1,5544.12
2023-11-17,4,11,0,0,0,17.2,236,17.73,4552.98
2023-11-18,5,11,1,0,0,18.32,361,21.0,8405.15
2023-11-19,6,11,1,0,0,15.62,399,18.76,8232.24
2023-11-20,0,11,0,0,0,21.57,339,20.65,6807.74
2023-11-21,1,11,0,0,0,15.5,327,19.75,6249.94
2023-11-22,2,11,0,0,0,15.22,300,17.65,5224.32
2023-11-23,3,11,0,0,0,20.1,278,19.68,5236.05
2023-11-24,4,11,0,0,0,19.5,284,19.4,4195.58
2023-11-25,5,11,1,0,0,19.3,368,22.96,8504.65
2023-11-26,6,11,1,0,0,19.45,380,24.99,9263.07
2023-11-27,0,11,0,1,0,18.31,485,22.69,12492.27
2023-11-28,1,11,0,1,0,16.68,403,26.19,12432.6
2023-11-29,2,11,0,1,0,18.77,479,26.28,13329.85
2023-11-30,3,11,0,1,0,17.41,369,27.98,10815.31
2023-12-01,4,12,0,1,0,20.86,379,27.68,11603.67
2023-12-02,5,12,1,0,0,18.77,330,24.54,8737.53
2023-12-03,6,12,1,0,0,17.56,361,25.4,9858.44
2023-12-04,0,12,0,0,0,18.72,368,23.29,8921.69
2023-12-05,1,12,0,0,0,20.34,336,26.1,9846.9
2023-12-06,2,12,0,0,0,18.54,333,24.41,7837.85
2023-12-07,3,12,0,0,0,18.18,285,27.02,8187.48
2023-12-08,4,12,0,0,0,20.47,274,23.77,6411.45
2023-12-09,5,12,1,0,0,20.63,363,23.91,9770.54
2023-12-10,6,12,1,0,0,19.29,365,22.25,8557.84
2023-12-11,0,12,0,0,0,19.52,368,19.82,8147.17
2023-12-12,1,12,0,0,0,21.09,340,19.62,7553.35
2023-12-13,2,12,0,0,0,17.89,289,21.88,7736.08
2023-12-14,3,12,0,0,0,18.14,279,21.75,7399.78
2023-12-15,4,12,0,0,0,19.68,304,18.16,5811.93
2023-12-16,5,12,1,0,0,20.85,387,22.98,9495.86
2023-12-17,6,12,1,0,0,22.07,392,20.61,8259.81
2023-12-18,0,12,0,0,0,24.56,338,19.84,6061.71
2023-12-19,1,12,0,0,0,23.5,348,21.93,7382.12
2023-12-20,2,12,0,0,0,21.63,384,20.86,7653.2
2023-12-21,3,12,0,0,0,22.08,303,19.22,6642.04
2023-12-22,4,12,0,0,0,20.28,281,18.5,5077.99
2023-12-23,5,12,1,0,0,22.42,395,18.41,6810.8
2023-12-24,6,12,1,0,0,22.05,411,20.95,8506.3
2023-12-25,0,12,0,0,0,23.44,344,20.67,7228.88
2023-12-26,1,12,0,0,0,21.31,355,20.0,7724.46
2023-12-27,2,12,0,0,0,24.18,335,21.8,6315.67
2023-12-28,3,12,0,0,0,26.38,297,22.64,5659.89
2023-12-29,4,12,0,0,0,23.27,293,22.68,7335.32
2023-12-30,5,12,1,0,0,24.46,375,23.99,9593.69
2023-12-31,6,12,1,0,1,25.21,508,25.61,13769.15
2024-01-01,0,1,0,0,1,23.2,433,24.83,11719.86
2024-01-02,1,1,0,0,0,24.62,366,22.74,7288.61
2024-01-03,2,1,0,0,0,24.37,291,26.6,7960.34
2024-01-04,3,1,0,0,0,24.71,325,24.34,8331.66
2024-01-05,4,1,0,0,0,23.14,287,24.41,7736.93
2024-01-06,5,1,1,0,0,24.91,403,26.73,11157.16
2024-01-07,6,1,1,0,0,26.03,341,25.71,9655.67
2024-01-08,0,1,0,0,0,28.1,412,24.9,10183.58
2024-01-09,1,1,0,0,0,27.29,365,23.45,8989.51
2024-01-10,2,1,0,0,0,29.85,373,21.6,7927.54
2024-01-11,3,1,0,1,0,24.18,410,26.04,11560.98
2024-01-12,4,1,0,1,0,27.63,428,23.26,10509.02
2024-01-13,5,1,1,1,0,26.42,486,26.15,14429.79
2024-01-14,6,1,1,1,0,30.6,532,25.48,15291.66
2024-01-15,0,1,0,1,0,24.77,541,23.33,13288.07
2024-01-16,1,1,0,0,0,24.87,368,19.64,7092.87
2024-01-17,2,1,0,0,0,25.52,354,16.8,5077.11
2024-01-18,3,1,0,0,0,22.64,332,18.69,5796.58
2024-01-19,4,1,0,0,0,26.0,299,19.65,5537.42
2024-01-20,5,1,1,0,0,25.69,390,21.36,9668.53
2024-01-21,6,1,1,0,0,27.68,431,19.79,8179.1
2024-01-22,0,1,0,0,0,28.22,428,22.04,9750.77
2024-01-23,1,1,0,0,0,31.45,375,19.23,7344.5
2024-01-24,2,1,0,0,0,29.76,358,22.44,7886.17
2024-01-25,3,1,0,0,0,26.86,341,22.12,8816.08
2024-01-26,4,1,0,0,0,26.38,318,21.03,7403.13
2024-01-27,5,1,1,0,0,29.31,420,26.68,12502.84
2024-01-28,6,1,1,0,0,25.84,442,22.73,11222.76
2024-01-29,0,1,0,0,0,32.3,343,24.85,9852.04
2024-01-30,1,1,0,0,0,31.15,421,25.36,12221.83
2024-01-31,2,1,0,0,0,28.0,328,23.16,8433.15
2024-02-01,3,2,0,0,0,25.66,326,26.47,8309.2
2024-02-02,4,2,0,0,0,31.94,276,24.11,6878.36
2024-02-03,5,2,1,0,0,29.15,392,26.42,10837.85
2024-02-04,6,2,1,0,0,32.0,438,26.27,12327.67
2024-02-05,0,2,0,0,0,26.48,383,23.96,10074.75
2024-02-06,1,2,0,0,0,28.61,395,25.07,10012.2
2024-02-07,2,2,0,0,0,29.96,401,24.66,10143.03
2024-02-08,3,2,0,0,0,30.18,333,20.39,7034.2
2024-02-09,4,2,0,0,0,29.32,292,24.48,7681.81
2024-02-10,5,2,1,0,0,31.6,421,21.01,8411.99
2024-02-11,6,2,1,0,0,28.35,462,24.53,11559.84
2024-02-12,0,2,0,0,0,30.33,348,22.67,7906.36
2024-02-13,1,2,0,0,0,30.99,402,18.89,7981.96
2024-02-14,2,2,0,0,0,31.9,381,19.53,7001.35
2024-02-15,3,2,0,0,0,32.42,318,18.18,4663.15
2024-02-16,4,2,0,0,0,28.87,335,19.3,6429.03
2024-02-17,5,2,1,0,0,28.17,396,20.55,8010.66
2024-02-18,6,2,1,0,0,33.91,439,22.18,9351.67
2024-02-19,0,2,0,0,0,32.13,377,21.59,7517.25
2024-02-20,1,2,0,0,0,30.09,391,21.93,8176.25
2024-02-21,2,2,0,0,0,34.8,339,19.3,5996.92
2024-02-22,3,2,0,0,0,32.03,292,20.22,4693.51
2024-02-23,4,2,0,0,0,34.27,344,18.46,6602.06
2024-02-24,5,2,1,0,0,32.15,382,21.77,9311.95
2024-02-25,6,2,1,1,0,36.24,544,28.45,17119.98
2024-02-26,0,2,0,1,0,35.73,460,28.44,13498.32
2024-02-27,1,2,0,1,0,31.81,507,24.67,13418.88
2024-02-28,2,2,0,1,0,34.35,466,26.08,13218.57
2024-02-29,3,2,0,1,0,33.79,501,27.32,15080.42
2024-03-01,4,3,0,0,0,35.32,331,24.59,8755.38
2024-03-02,5,3,1,0,0,30.74,388,24.66,10078.93
2024-03-03,6,3,1,0,0,34.13,497,26.62,14117.04
2024-03-04,0,3,0,0,0,34.96,411,23.78,10320.58
2024-03-05,1,3,0,0,0,29.4,387,24.36,10397.78
2024-03-06,2,3,0,0,0,30.63,309,24.98,8309.49
2024-03-07,3,3,0,0,0,28.99,389,23.87,9858.73
2024-03-08,4,3,0,0,0,32.6,273,22.81,6416.71
2024-03-09,5,3,1,0,0,34.64,366,24.35,10124.69
