Date,Visitors,Promotion,Weekend,Holiday,Temperature,Average_Order_Value,Sales
2/17/2025,292,1,0,0,32.3,994.6,308.07
2/18/2025,235,0,0,0,34,977.88,229.47
2/19/2025,221,0,0,0,26.1,968.77,243.89
2/20/2025,249,0,0,0,27.3,969.58,232.12
2/21/2025,245,0,0,0,30.6,796.03,181.19
2/22/2025,255,0,1,0,29.1,878.71,231.32
2/23/2025,261,0,1,0,30.9,864.32,232.46
2/24/2025,243,0,0,0,30.3,938.27,244.24
2/25/2025,310,0,0,1,28.5,1090.21,409.28
2/26/2025,229,0,0,0,33.2,913.99,233.66
2/27/2025,303,0,0,1,31.6,1281.92,498.85
2/28/2025,267,0,0,0,29.6,873.83,201.89
3/1/2025,265,0,1,0,33.8,863.3,267.32
3/2/2025,303,0,1,0,29.9,795.89,249.67
3/3/2025,306,1,0,0,28.5,881.59,331.51
3/4/2025,268,0,0,0,31.4,790.17,211.93
3/5/2025,226,0,0,0,31.8,835.32,195.3
3/6/2025,235,0,0,0,32.2,1017.91,219.64
3/7/2025,286,1,0,0,32.6,1023.52,330.04
3/8/2025,293,0,1,0,32.3,917.4,302.32
3/9/2025,263,0,1,0,32.3,891.34,292.87
3/10/2025,248,0,0,0,30.2,932.88,221.61
3/11/2025,246,0,0,0,30.1,1026.19,248.4
3/12/2025,293,1,0,0,33,840.55,312.29
3/13/2025,316,1,0,0,32,1129.65,386.61
3/14/2025,242,0,0,0,33.2,673.65,192.61
3/15/2025,281,0,1,0,28.2,902.54,285.25
3/16/2025,316,1,1,0,30.7,1217.27,463.17
3/17/2025,231,0,0,0,35.5,961.26,236.51
3/18/2025,322,0,0,1,32.8,1093.58,412.41
3/19/2025,246,0,0,0,32.4,1080.18,280.93
3/20/2025,244,0,0,0,33.2,836.72,196.35
3/21/2025,294,1,0,0,36.2,1059.06,348.98
3/22/2025,362,1,1,0,35.9,1072.03,472.39
3/23/2025,302,1,1,0,28.7,972.98,372.11
3/24/2025,212,0,0,0,29.5,860.93,188.89
3/25/2025,304,1,0,0,28.7,971.06,317.63
3/26/2025,250,0,0,0,30.4,907.86,215.12
3/27/2025,244,0,0,0,32.1,949.2,245.4
3/28/2025,233,0,0,0,32.5,911.09,235.41
3/29/2025,331,1,1,0,28.9,1083.85,410.04
3/30/2025,352,1,1,0,28.3,842.78,353.18
3/31/2025,280,0,0,0,30.5,880.36,257.85
4/1/2025,266,1,0,0,33.8,927.89,297.8
4/2/2025,234,0,0,0,34.2,927.16,193.21
4/3/2025,235,0,0,0,35.4,925.82,229.71
4/4/2025,267,0,0,0,31.9,889.59,234.28
4/5/2025,231,0,1,0,33.6,945.93,285.27
4/6/2025,285,0,1,0,34,989.8,321.66
4/7/2025,231,0,0,0,31,894.55,224.42
4/8/2025,268,0,0,0,32.7,805.35,234.43
4/9/2025,267,0,0,0,33.3,757.69,187.36
4/10/2025,241,0,0,0,30.1,903.25,265.87
4/11/2025,215,0,0,0,35.2,921.77,175.25
4/12/2025,262,0,1,0,31.8,812.74,263.5
4/13/2025,264,0,1,0,32,965.32,302.31
4/14/2025,210,0,0,0,29.9,858.69,180.69
4/15/2025,255,0,0,0,30.2,750.92,214.98
4/16/2025,203,0,0,0,27.4,1013.08,209.51
4/17/2025,273,0,0,0,31.8,1002.96,270.18
4/18/2025,336,1,0,0,36.7,838.6,341.79
4/19/2025,261,0,1,0,29.6,849.37,237.27
4/20/2025,289,0,1,0,37.6,845.86,275.06
4/21/2025,296,1,0,0,34.4,1167.55,383.85
4/22/2025,251,0,0,0,30.6,891.06,227.86
4/23/2025,260,0,0,0,31.5,765.37,218.2
4/24/2025,241,0,0,0,31.2,979.39,234.75
4/25/2025,251,0,0,0,34.8,789.23,205.26
4/26/2025,262,0,1,0,32.4,876.57,255.72
4/27/2025,283,0,1,0,33.6,830.72,300.46
4/28/2025,240,0,0,0,31.9,849.56,222.33
4/29/2025,219,0,0,0,30.9,984.35,231.57
4/30/2025,362,1,0,1,31.7,1316.92,606.67
5/1/2025,227,0,0,0,30.2,785.31,178.29
5/2/2025,220,0,0,0,28,956.35,238.75
5/3/2025,253,0,1,0,32.5,834.05,254.57
5/4/2025,266,0,1,0,27.8,836.85,228.36
5/5/2025,220,0,0,0,30.2,944.16,191.37
5/6/2025,225,0,0,0,29.8,807.49,182.36
5/7/2025,327,0,0,1,31.9,1102.35,410.86
5/8/2025,252,0,0,0,33.6,965.71,250.73
5/9/2025,221,0,0,0,32.8,861.07,182.74
5/10/2025,278,0,1,0,31.7,1019.44,319.23
5/11/2025,270,0,1,0,29,785.45,277.48
5/12/2025,264,0,0,0,29.8,1021.09,281.45
5/13/2025,313,1,0,0,29.4,845.04,311.01
5/14/2025,260,1,0,0,29,1262.97,388.52
5/15/2025,248,0,0,0,29.1,863.44,212.97
5/16/2025,310,1,0,0,28.9,915.39,353.5
5/17/2025,277,0,1,0,28.8,879.06,291.33
5/18/2025,336,0,1,1,31.5,965.82,428.16
5/19/2025,273,0,0,0,27.4,934.83,271.34
5/20/2025,242,0,0,0,27.9,1023.09,301.82
5/21/2025,263,0,0,0,26.1,810.59,245.19
5/22/2025,262,0,0,0,32,952.15,307
5/23/2025,238,0,0,0,27.5,762.05,205.56
5/24/2025,259,0,1,0,30.3,992.97,266.62
5/25/2025,323,1,1,0,29.8,1057.46,415.44
5/26/2025,288,1,0,0,31.4,1116.86,341.08
5/27/2025,209,0,0,0,28.2,888.99,210.37
5/28/2025,295,1,0,0,26.6,980.84,358.07
5/29/2025,309,1,0,0,25.3,1093.45,374.15
5/30/2025,271,1,0,0,22.7,902.28,285.34
5/31/2025,305,0,1,0,28.5,743.15,269.27
6/1/2025,240,0,1,0,29.6,899.55,231.72
6/2/2025,321,0,0,1,28.9,1024.94,383.16
6/3/2025,255,0,0,0,24.8,949.84,281.4
6/4/2025,285,1,0,0,29.8,1118.24,375.75
6/5/2025,224,0,0,0,26.2,947.97,215.91
6/6/2025,300,1,0,0,25.7,1111.07,354.43
6/7/2025,326,1,1,0,25.9,1048.89,438.81
6/8/2025,283,1,1,0,27.4,1064.51,368.11
6/9/2025,208,0,0,0,24.1,889.5,237.73
6/10/2025,228,0,0,0,26.9,941.85,247.46
6/11/2025,205,0,0,0,27.7,915,187.07
6/12/2025,279,1,0,0,28.9,1049.27,333.51
6/13/2025,204,0,0,0,26.9,884.99,230.89
6/14/2025,251,0,1,0,23.8,972.8,283.37
6/15/2025,257,0,1,0,26.6,836.06,245.33
6/16/2025,230,0,0,0,24.1,898.35,222.81
6/17/2025,276,1,0,0,23.8,1138.06,360.04
6/18/2025,286,1,0,0,23.2,934.62,328.08
6/19/2025,226,0,0,0,22,705.43,174.46
6/20/2025,298,1,0,0,24.5,1052.98,387.31
6/21/2025,281,0,1,0,27.8,876.87,279.82
6/22/2025,283,0,1,0,29.9,990.98,303.92
6/23/2025,279,0,0,0,24.1,888.25,257.7
6/24/2025,235,0,0,0,27.3,845.61,208.64
6/25/2025,270,0,0,0,24.2,893.18,256.61
6/26/2025,226,0,0,0,21.5,998.38,255.41
6/27/2025,225,0,0,0,26.1,951.78,243.22
6/28/2025,253,0,1,0,25,680.95,238.61
6/29/2025,293,0,1,0,28.1,916.72,294.27
6/30/2025,248,0,0,0,21.2,921.22,253.27
7/1/2025,244,0,0,0,29.7,898.36,251.43
7/2/2025,249,0,0,0,27.2,845.02,214.71
7/3/2025,270,0,0,1,23.8,1167.51,393.55
7/4/2025,194,0,0,0,23.1,1011.96,178.76
7/5/2025,332,1,1,0,22.2,821.72,373.99
7/6/2025,255,0,1,0,23.7,828.18,250.03
7/7/2025,235,0,0,0,22.9,886.97,242.36
7/8/2025,211,0,0,0,24.2,985.37,229.76
7/9/2025,250,0,0,0,22.4,903.14,240.46
7/10/2025,199,0,0,0,25.7,838.48,152.92
7/11/2025,196,0,0,0,23,963.86,179.45
7/12/2025,281,0,1,0,22.1,880.98,238.98
7/13/2025,282,0,1,1,24.5,1049.43,393.45
7/14/2025,276,1,0,0,19.1,1017.56,385.28
7/15/2025,274,1,0,0,22.9,1071.69,326.95
7/16/2025,207,0,0,0,22.1,872.23,146.42
7/17/2025,211,0,0,0,19.1,961.83,240.98
7/18/2025,198,0,0,0,18.4,893.42,243.09
7/19/2025,340,1,1,0,23.7,923.97,404.64
7/20/2025,345,1,1,0,23.5,1016.69,440.5
7/21/2025,207,0,0,0,21.8,808.63,180.39
7/22/2025,229,0,0,0,24.7,903.69,190.9
7/23/2025,196,0,0,0,22,974.65,181.37
7/24/2025,242,0,0,0,23.5,803.37,207.44
7/25/2025,238,0,0,0,21.7,932.78,231.54
7/26/2025,246,0,1,0,20.2,825.39,245.63
7/27/2025,304,1,1,0,18.5,1038.15,416.75
7/28/2025,213,0,0,0,19.3,977.42,216.64
7/29/2025,187,0,0,0,19.9,708.34,169.32
7/30/2025,249,0,0,0,23,799.7,208.01
7/31/2025,260,1,0,0,21.7,986.79,337.87
8/1/2025,259,1,0,0,20.7,1048.35,333.19
8/2/2025,251,0,1,0,21.7,885.03,259.15
8/3/2025,270,0,1,0,20.9,895.87,289.26
8/4/2025,206,0,0,0,20.2,1083.87,237.79
8/5/2025,175,0,0,0,16.6,790.88,161.19
8/6/2025,203,0,0,0,21.7,1002.19,239.63
8/7/2025,221,0,0,0,18.4,868.5,210.98
8/8/2025,258,0,0,0,21.4,949.45,258.58
8/9/2025,231,0,1,0,21.5,1091.61,275.85
8/10/2025,223,0,1,0,17.7,961.98,272.81
8/11/2025,190,0,0,0,20.8,933.52,205.89
8/12/2025,183,0,0,0,18.1,1043.92,188.92
8/13/2025,234,0,0,0,18,1001.23,272.61
8/14/2025,241,0,0,0,19.1,828.05,197.48
8/15/2025,218,0,0,0,19.1,926.51,243.84
8/16/2025,240,0,1,0,18.5,745.43,239.36
8/17/2025,275,0,1,0,15.6,851.39,289.76
8/18/2025,215,0,0,0,18,928.26,214.47
8/19/2025,240,0,0,0,22.7,845.81,236.96
8/20/2025,193,0,0,0,12.4,924.6,222.28
8/21/2025,271,1,0,0,19.7,1018.8,350.44
8/22/2025,194,0,0,0,19.9,948.28,192.62
8/23/2025,253,0,1,0,15,861.82,271.21
8/24/2025,304,1,1,0,16.7,935.39,394.16
8/25/2025,192,0,0,0,15.6,1033.03,264.95
8/26/2025,257,1,0,0,21.2,975.39,309.66
8/27/2025,244,0,0,0,19.6,959.4,274.53
8/28/2025,251,0,0,0,19.6,1029.17,303.83
8/29/2025,208,0,0,0,17.5,914.64,196.77
8/30/2025,252,0,1,0,19.8,822.93,291.1
8/31/2025,253,0,1,0,17.1,883.93,250.59
9/1/2025,273,1,0,0,19.8,1111.58,383.28
9/2/2025,180,0,0,0,16.7,918.56,194.81
9/3/2025,216,0,0,0,15.6,791.54,195.41
9/4/2025,179,0,0,0,20.5,953.7,245.56
9/5/2025,252,1,0,0,16.8,1089.26,332.18
9/6/2025,251,0,1,0,14.9,868.02,260.36
9/7/2025,253,0,1,0,14.9,954.92,316.73
9/8/2025,192,0,0,0,14.8,922.05,216.38
9/9/2025,205,0,0,0,18.3,882.23,230.29
9/10/2025,199,0,0,0,16.3,783.58,182.26
9/11/2025,216,0,0,0,21.1,997.02,246.09
9/12/2025,213,0,0,0,18.8,968.33,269.04
9/13/2025,257,0,1,0,16.9,952.55,278.03
9/14/2025,240,0,1,0,19.1,1039.01,297.09
9/15/2025,269,1,0,0,15.3,1105.07,378.25
9/16/2025,212,0,0,0,12.6,961.79,224.53
9/17/2025,209,0,0,0,14.3,700.81,160.13
9/18/2025,205,0,0,0,16.5,1007.72,243.97
9/19/2025,212,0,0,0,15.7,907.48,243.8
9/20/2025,261,0,1,0,17.8,928.12,289.21
9/21/2025,259,0,1,0,15.9,928.74,287.15
9/22/2025,244,0,0,0,17.6,969.64,249.36
9/23/2025,197,0,0,0,19.1,1001,216.28
9/24/2025,201,0,0,0,15.8,957.08,239.17
9/25/2025,237,1,0,0,17.2,1062.78,318.99
9/26/2025,219,0,0,0,12.5,920.84,211.6
9/27/2025,237,0,1,0,15.8,598.36,198.14
9/28/2025,243,0,1,0,13.5,874.12,284.48
9/29/2025,198,0,0,0,16.3,815.26,176.61
9/30/2025,204,0,0,0,16.5,1008.97,205.18
10/1/2025,232,0,0,0,16.5,955.71,291.46
10/2/2025,275,1,0,0,15,978.77,307.52
10/3/2025,285,0,0,1,20.6,1027.81,377.26
10/4/2025,308,1,1,0,13.5,984.54,399.49
10/5/2025,308,1,1,0,13.4,982.94,389.19
10/6/2025,208,0,0,0,19.3,769.99,185.21
10/7/2025,235,1,0,0,14.6,870.48,282.84
10/8/2025,189,0,0,0,14.2,902.61,149.97
10/9/2025,193,0,0,0,20.7,996.78,194.16
10/10/2025,233,0,0,0,18.1,851.61,226.84
10/11/2025,321,1,1,0,14.9,1047.31,420.27
10/12/2025,273,0,1,0,16.6,966.08,319.02
10/13/2025,235,1,0,0,20.1,930.6,290.42
10/14/2025,286,1,0,0,17.6,1018.2,316.32
10/15/2025,254,0,0,0,18.8,840.01,266.15
10/16/2025,287,1,0,0,17.9,1164.55,392.18
10/17/2025,174,0,0,0,18.2,1040.62,191.52
10/18/2025,276,0,1,0,16.4,810.69,281.12
10/19/2025,245,0,1,0,16.4,934.73,284.4
10/20/2025,206,0,0,0,17,996.08,257.55
10/21/2025,220,0,0,0,17.9,976.35,248.81
10/22/2025,190,0,0,0,16,907.34,223.68
10/23/2025,210,0,0,0,16.8,1017.59,223.62
10/24/2025,293,1,0,0,16,938.59,346.28
10/25/2025,257,0,1,0,16.9,872.72,255.24
10/26/2025,242,0,1,0,14.2,821.01,254.02
10/27/2025,221,0,0,0,22,970.42,241.14
10/28/2025,311,1,0,1,15.4,1127.56,481.86
10/29/2025,206,0,0,0,16.2,884.59,208.59
10/30/2025,233,1,0,0,15.3,1075.59,334.59
10/31/2025,231,0,0,0,18.3,962.84,219.7
11/1/2025,276,0,1,1,16.7,978.36,371.03
11/2/2025,258,0,1,0,15.3,995.1,310.11
11/3/2025,231,0,0,0,18.6,941.01,223.29
11/4/2025,238,0,0,0,18.9,802.65,221.31
11/5/2025,213,0,0,0,17.3,780.51,194.59
11/6/2025,296,0,0,1,16.2,1058.58,379.55
11/7/2025,217,0,0,0,22,976.51,212.31
11/8/2025,227,0,1,0,18.3,978.81,224.28
11/9/2025,270,0,1,0,15.2,932.06,282.16
11/10/2025,215,0,0,0,20.7,904.38,225.23
11/11/2025,184,0,0,0,16.2,946.06,207.21
11/12/2025,214,0,0,0,23.5,823.02,210.36
11/13/2025,205,0,0,0,18.3,1051.83,230.64
11/14/2025,225,0,0,0,20.2,1050.65,266.21
11/15/2025,283,0,1,0,14.1,938.59,328.85
11/16/2025,308,1,1,0,15.8,1037.76,389.82
11/17/2025,222,0,0,0,21.2,862.97,224.65
11/18/2025,314,1,0,0,19.2,1067.59,419.02
11/19/2025,239,0,0,0,22.8,837.78,221.06
11/20/2025,220,0,0,0,19.8,699.87,206.39
11/21/2025,261,1,0,0,19.2,775.73,264.21
11/22/2025,261,0,1,0,22.4,828.05,255.24
11/23/2025,252,0,1,0,21.1,914.07,297.7
11/24/2025,216,0,0,0,18.8,929.88,272.55
11/25/2025,235,0,0,0,17.2,856.19,234.05
11/26/2025,197,0,0,0,14.7,912.77,223.93
11/27/2025,223,0,0,0,18.7,875.32,216.66
11/28/2025,283,1,0,0,17.3,930.06,310.43
11/29/2025,248,0,1,0,25,895.16,282.32
11/30/2025,234,0,1,0,18.6,973.17,290.94
12/1/2025,211,0,0,0,18.7,814.13,196.68
12/2/2025,203,0,0,0,17.1,814.18,209.71
12/3/2025,236,0,0,0,19.7,803.77,209.15
12/4/2025,196,0,0,0,19.1,725.71,156.82
12/5/2025,294,0,0,1,24,1016.78,418.09
12/6/2025,299,0,1,0,21,964.27,366.85
12/7/2025,260,0,1,0,20.8,915.65,282.9
12/8/2025,228,0,0,0,20.6,884.77,268.52
12/9/2025,297,1,0,0,22.6,1031.62,373.1
12/10/2025,208,0,0,0,20.3,855.99,212.84
12/11/2025,201,0,0,0,22.6,724.69,177.24
12/12/2025,283,1,0,0,24.7,1090.53,391.78
12/13/2025,260,0,1,0,22.5,996.4,322.99
12/14/2025,279,1,1,0,21.2,954.47,369.83
12/15/2025,223,0,0,0,19.9,886.42,210.38
12/16/2025,238,0,0,0,21.4,878.67,208.72
12/17/2025,205,0,0,0,23.2,931.62,247.8
12/18/2025,222,0,0,0,19.2,1052.09,256.74
12/19/2025,239,0,0,0,24,1004.38,273.21
12/20/2025,267,0,1,0,22.9,866.08,296.54
12/21/2025,267,0,1,0,22.3,948.82,345.38
12/22/2025,214,0,0,0,21.4,1012.89,254.31
12/23/2025,254,1,0,0,21.9,1056.75,334.97
12/24/2025,216,0,0,0,24.2,899.58,217.77
12/25/2025,211,0,0,0,22.9,940.14,231.76
12/26/2025,274,1,0,0,22.3,956.71,318.19
12/27/2025,279,0,1,0,24.4,849.84,296.94
12/28/2025,236,0,1,0,24.6,804.24,248.21
12/29/2025,221,0,0,0,21.2,927.64,272.46
12/30/2025,206,0,0,0,25,888.17,216.08
12/31/2025,219,0,0,0,29,825.92,177.29
